COND天气状况,TMP气温(℃),FEELST体感温度(℃),PRES气压(hPa),HUM相对湿度(%),RAIN降水量(mm),WDIR风向,WSC风力,WSPD风速(m/s),AQI,PM2.5(渭g/m鲁),PM10(渭g/m鲁),NO2(渭g/m鲁),SO2(渭g/m鲁),O3(渭g/m鲁),CO(mg/m鲁)
晴,0.6,1.4,1026,21,0.0,8,4,3.5,25.0,17.0,0.0,36.0,6.0,43.0,0.6
晴,-1.8,-1.2,1028,24,0.0,8,4,3.5,19.0,13.0,0.0,31.0,4.0,45.0,0.5
晴,-2.6,-2.1,1027,23,0.0,2,4,4.1,19.0,13.0,0.0,28.0,6.0,45.0,0.5
晴,-3.4,-2.5,1027,24,0.0,2,1,2.4,15.0,10.0,0.0,24.0,5.0,48.0,0.5
晴,-4.1,-3.8,1027,24,0.0,2,4,4.3,18.0,12.0,0.0,24.0,5.0,45.0,0.5
晴,-4.3,-3.5,1027,24,0.0,2,1,2.6,16.0,11.0,0.0,21.0,5.0,47.0,0.3
晴,-4.6,-3.7,1027,25,0.0,2,1,2.2,16.0,11.0,0.0,18.0,5.0,39.0,0.4
晴,-5.1,-4.4,1027,26,0.0,2,1,2.2,13.0,9.0,0.0,18.0,6.0,39.0,0.4
晴,-5.2,-4.4,1028,27,0.0,2,1,1.7,12.0,7.0,0.0,21.0,6.0,36.0,0.4
晴,-5.7,-4.9,1028,29,0.0,2,1,1.2,14.0,9.0,0.0,28.0,6.0,29.0,0.5
晴,-1.2,0.4,1028,20,0.0,8,1,1.5,22.0,15.0,18.0,32.0,10.0,28.0,0.8
晴,-0.1,1.2,1026,20,0.0,6,1,2.1,26.0,18.0,18.0,29.0,9.0,34.0,0.8
晴,0.2,1.4,1025,22,0.0,8,1,2.0,28.0,19.0,19.0,35.0,9.0,30.0,0.8
晴,0.7,1.3,1024,23,0.0,6,4,3.7,47.0,31.0,47.0,38.0,18.0,32.0,1.0
晴,0.4,0.9,1024,25,0.0,6,4,3.4,70.0,51.0,68.0,41.0,29.0,32.0,1.1
晴,-1.4,-1.0,1024,31,0.0,6,1,2.2,82.0,60.0,76.0,47.0,23.0,28.0,1.0
晴,-2.2,-2.2,1025,34,0.0,6,1,2.5,97.0,72.0,97.0,66.0,20.0,11.0,1.2
晴,-2.6,-2.5,1026,36,0.0,6,1,1.7,113.0,85.0,105.0,68.0,24.0,9.0,1.2
晴,-7.5,-9.2,1026,57,0.0,6,1,0.6,145.0,111.0,128.0,70.0,37.0,6.0,2.8
晴,-6.3,-8.4,1026,57,0.0,2,1,1.5,149.0,114.0,136.0,71.0,31.0,6.0,2.9
晴,-7.8,-10.2,1026,61,0.0,2,1,0.9,143.0,109.0,123.0,70.0,24.0,6.0,3.0
晴,0.4,0.8,1028,26,0.0,8,4,3.4,50.0,31.0,50.0,57.0,28.0,7.0,1.7
晴,1.5,2.1,1028,22,0.0,8,4,3.9,52.0,36.0,49.0,52.0,27.0,13.0,1.7
晴,2.6,3.6,1027,18,0.0,2,4,3.6,42.0,29.0,34.0,36.0,19.0,28.0,1.1
晴,3.5,4.4,1026,17,0.0,8,4,4.4,33.0,23.0,0.0,23.0,14.0,43.0,0.7
晴,3.8,4.9,1025,16,0.0,8,4,3.7,23.0,16.0,0.0,14.0,9.0,55.0,0.5
晴,3.7,4.6,1025,16,0.0,8,4,4.7,19.0,12.0,17.0,12.0,7.0,59.0,0.4
晴,0.4,1.3,1028,24,0.0,8,1,2.5,27.0,8.0,27.0,18.0,4.0,53.0,0.4
晴,-3.6,-4.0,1031,29,0.0,8,4,5.4,22.0,10.0,22.0,25.0,5.0,38.0,0.4
